Countries,Nr. of Tenders
Austria,"1,35,205"
Belgium,"1,06,847"
Bulgaria,"1,98,439"
Croatia,"2,36,320"
Cyprus,"9,925"
Czech Republic,"2,83,032"
Denmark,"52,290"
Estonia,"1,19,964"
EU Institutions,"1,89,075"
Finland,"69,002"
France,2.8 Million
Georgia,"3,81,127"
Germany,"5,76,932"
Greece,"63,819"
Hungary,"2,13,851"
Iceland,"3,116"
Ireland,"1,42,129"
Italy,14.0 Million
Latvia,"1,60,242"
Lithuania,"2,02,288"
Luxembourg,"10,024"
Malta,"8,950"
Netherlands,"1,32,879"
Norway,"2,76,538"
Poland,2.9 Million
Portugal,1.5 Million
Romania,21.1 Million
Slovakia,"5,48,191"
Slovenia,"1,43,278"
Spain,2.4 Million
Sweden,"1,32,373"
Switzerland,"1,25,240"
United Kingdom,"5,39,999"
